Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
exadel-inc/CompreFace,7865,5.73,11,7766,2939,7.85,1.66,3.89
dropwizard/metrics,7849,16.09,142,30088,5096,5.53,1.37,9.14
HannahMitt/HomeMirror,7830,10.6,0,1719,607,2.73,1.08,5.35
AntennaPod/AntennaPod,7773,13.66,65,55108,4184,7.55,1.49,20.85
lecho/hellocharts-android,7767,11.47,14,10995,1844,6.31,1.52,40.29
ChrisRM/material-theme-jetbrains,7763,10.52,17,14517,9764,4.33,2.25,84.42
Tencent/Shadow,7743,6.8,5,21909,0,4.25,1.78,17.33
MuntashirAkon/AppManager,7726,5.83,76,128612,18862,7.93,1.47,73.87
PowerJob/PowerJob,7717,6.04,51,24684,11520,5.75,1.18,5.14
goldze/MVVMHabit,7709,8.69,3,9110,3347,3.58,1.27,15.76
trello-archive/RxLifecycle,7669,10.7,22,2368,815,6.43,1.65,1.41
FongMi/TV,7661,3.77,0,30986,1,6.88,1.42,107.15
vipshop/vjtools,7652,7.84,9,18382,6076,3.13,1.28,26.3
mapstruct/mapstruct,7634,13.84,36,103911,0,3.83,1.17,11.19
gedoor/MyBookshelf,7623,7.8,165,48375,6315,6.34,1.47,58.66
google/android-classyshark,7596,10.47,17,8714,2446,3.17,1.28,10.25
MinecraftForge/MinecraftForge,7573,14.17,0,56657,0,7.42,1.57,32.69
koush/AndroidAsync,7551,13.6,0,18086,3066,3.61,1.53,19.44
kaushikgopal/RxJava-Android-Samples,7526,11.69,0,2633,187,6.63,1.83,9.2
kevin-wayne/algs4,7524,10.58,0,22522,28066,4.0,1.02,47.47
swagger-api/swagger-core,7521,14.74,130,45855,0,4.71,1.23,48.43
Genymobile/gnirehtet,7517,9.14,12,4330,1062,3.77,1.19,14.3
yuanguangxin/LeetCode,7492,6.22,0,3441,415,1.24,1.0,0.84
dependency-check/DependencyCheck,7472,13.57,91,41996,34041,6.94,1.83,63.96
lenve/VBlog,7434,8.26,0,781,136,4.55,1.03,29.07
enso-org/enso,7431,9.29,714,129564,0,6.44,1.68,36.55
dyc87112/SpringCloud-Learning,7394,9.61,0,13492,0,5.88,1.04,28.73
gocd/gocd,7386,12.3,87,257388,0,7.5,1.28,34.5
abel533/Mapper,7385,11.36,11,19455,11525,5.09,1.24,36.24
Qihoo360/RePlugin,7350,8.81,19,30275,17284,5.2,1.42,32.02
leolin310148/ShortcutBadger,7340,12.37,0,885,240,5.29,1.16,3.48
iflytek/astron-rpa,7312,0.53,5,39850,21614,5.62,1.14,38.2
square/dagger,7308,13.66,0,8043,3168,3.17,1.23,5.99
Bearded-Hen/Android-Bootstrap,7254,12.41,5,10389,920,6.96,1.67,31.39
Exrick/xmall,7244,8.67,0,45293,1964,4.31,1.16,632.83
zhongyi-tong/WeChatLuckyMoney,7243,10.5,20,931,88,5.38,1.38,8.81
crazycodeboy/TakePhoto,7237,10.66,15,2403,773,5.05,1.25,10.89
pedant/sweet-alert-dialog,7229,11.45,2,943,29,4.38,1.25,31.06
NanoHttpd/nanohttpd,7211,13.64,3,7106,3655,4.34,1.79,22.16
cymcsg/UltimateRecyclerView,7193,11.17,9,16083,4794,5.21,1.69,41.39
wiremock/wiremock,7187,14.48,52,77821,22313,5.99,1.42,69.88
didi/KnowStreaming,7177,6.03,23,31517,7651,7.2,1.82,10.32
Alluxio/alluxio,7173,13.27,61,252449,119524,6.91,1.48,30.66
google/error-prone,7148,11.61,64,106945,51237,7.96,1.55,27.24
apache/hertzbeat,7145,4.15,7,81566,0,7.12,1.25,13.03
google/agera,7135,10.29,16,10897,4372,6.33,1.24,14.84
traccar/traccar,7127,13.95,69,69484,16471,5.62,1.92,6.0
rest-assured/rest-assured,7125,15.44,0,28974,0,5.17,1.21,105.87
h2pl/JavaTutorial,7121,7.92,1,14,9,0.33,1.0,0.33
ogaclejapan/SmartTabLayout,7084,11.12,0,1912,673,6.36,1.64,9.71
Col-E/Recaf,7072,8.68,170,76679,39714,8.36,1.59,27.76
JakeWharton/ActionBarSherlock,7071,15.07,32,26463,11115,6.28,1.95,63.4
naman14/Timber,7051,10.8,5,21859,3314,5.4,1.46,19.75
mrniko/netty-socketio,7024,14.21,19,6758,2779,4.82,1.26,32.1
NLPchina/elasticsearch-sql,7021,11.6,302,33009,3869,9.58,2.08,189.52
junit-team/junit-framework,6993,11.22,107,103190,0,4.71,1.3,35.79
DroidPluginTeam/DroidPlugin,6974,10.59,2,22301,6329,3.3,4.39,3.7
alibaba/jvm-sandbox,6958,8.66,13,14407,5954,3.48,1.33,12.36
logisim-evolution/logisim-evolution,6943,11.53,32,168706,19975,6.05,2.42,29.12
macrozheng/springcloud-learning,6922,6.56,0,5631,1339,4.88,1.02,85.88
smuyyh/BookReader,6878,9.66,0,30914,9386,4.8,1.44,25.32
rabbitmq/rabbitmq-tutorials,6875,15.52,0,1586,459,4.59,1.0,2.2
getActivity/AndroidProject,6865,7.44,18,21674,4866,7.93,2.26,19.85
Meituan-Dianping/walle,6862,9.22,1,4633,3142,3.15,1.19,8.69
hongyangAndroid/okhttputils,6856,10.62,0,1961,270,3.73,1.46,6.2
vespa-engine/vespa,6849,9.82,271,608094,106794,6.09,1.62,40.3
CeuiLiSA/Pixiv-Shaft,6806,7.0,126,37728,4045,4.86,1.44,25.2
guardianproject/haven,6796,9.08,37,4561,911,6.82,1.39,11.77
zo0r/react-native-push-notification,6792,10.29,35,1884,157,6.31,1.24,15.48
raphw/byte-buddy,6790,12.34,312,291974,0,6.13,1.63,15.21
Angel-ML/angel,6786,8.93,20,207142,46712,7.43,1.75,63.43
fuzhengwei/itstack-demo-design,6777,5.86,0,3992,904,2.17,1.11,5.33
527515025/springBoot,6773,9.39,0,6250,2180,5.09,1.15,15.5
gzu-liyujiang/AndroidPicker,6771,10.44,58,13541,5653,5.44,1.64,51.72
648540858/wvp-GB28181-pro,6748,5.37,2,49786,9908,8.24,1.28,33.3
Meituan-Dianping/Leaf,6737,7.3,0,1305,85,3.48,1.42,11.25
markzhai/AndroidPerformanceMonitor,6733,10.2,0,2234,643,4.07,1.28,14.07
Suwayomi/Suwayomi-Server,6715,5.27,58,41481,39053,5.55,1.62,1495.52
getActivity/XXPermissions,6711,7.79,74,9158,3886,6.67,1.55,86.09
quartz-scheduler/quartz,6709,10.06,8,35394,29567,5.58,1.45,124.58
zouzg/mybatis-generator-gui,6706,9.89,16,3047,245,7.18,1.49,69.95
hongyangAndroid/AndroidAutoLayout,6690,10.36,0,2370,265,5.83,2.0,8.81
jOOQ/jOOQ,6688,14.95,122,228082,288423,9.81,1.82,1679.74
apache/storm,6675,12.4,8,363171,62321,5.36,1.22,49.07
yanzhenjie/AndPermission,6646,9.55,0,4486,2407,3.99,1.17,7.49
JesusFreke/smali,6616,13.52,0,46762,25528,6.02,1.67,15.02
apache/zeppelin,6609,11.02,0,190534,27639,5.76,1.26,43.4
pig-mesh/pig,6607,6.6,20,7659,13739,6.95,1.31,5.3
hazelcast/hazelcast,6606,14.03,201,1133711,0,7.92,1.76,44.89
GrenderG/Toasty,6595,9.2,19,487,73,4.06,1.06,56.62
NLPchina/ansj_seg,6541,13.57,3,12130,2979,6.32,1.19,9.58
ximsfei/Android-skin-support,6522,9.21,0,19377,2303,6.08,1.39,17.67
processing/processing,6496,13.18,48,110008,50756,3.73,1.64,507.76
nayuki/QR-Code-generator,6493,9.96,5,1823,1476,3.95,1.42,19.58
hibernate/hibernate-orm,6463,15.49,170,1099305,0,6.92,1.34,74.93
freeok/so-novel,6450,3.85,53,3198,684,5.86,1.18,3.11
ArthurHub/Android-Image-Cropper,6431,11.21,32,4655,2060,7.72,1.38,70.38
wxiaoqi/Spring-Cloud-Platform,6428,8.85,3,6014,3356,4.89,1.41,57.65
jetlinks/jetlinks-community,6422,6.24,21,61140,0,8.8,1.28,11.85
gephi/gephi,6420,14.44,19,134361,64157,4.62,1.67,29.45
vinc3m1/RoundedImageView,6418,13.1,19,1265,302,8.4,1.8,107.47
Javen205/IJPay,6417,8.91,24,14136,12350,5.59,1.37,139.4
AsyncHttpClient/async-http-client,6407,15.07,12,33464,9189,6.08,1.49,49.5
micronaut-projects/micronaut-core,6394,8.07,353,182533,0,5.69,1.31,36.04
graphhopper/graphhopper,6382,14.11,46,103028,27924,6.76,1.26,33.28
aa112901/remusic,6382,10.02,0,47786,7021,5.19,1.45,41.65
apache/flink-cdc,6381,5.68,24,133457,0,8.43,1.45,28.52
joelittlejohn/jsonschema2pojo,6367,12.77,67,13773,0,6.64,1.16,46.54
DerekYRC/mini-spring,6352,5.37,1,2509,1130,3.42,1.22,5.09
wasabeef/richeditor-android,6347,11.0,0,804,59,2.42,1.14,46.95
sshahine/JFoenix,6343,10.56,0,24546,7634,6.92,1.62,22.08
amitshekhariitbhu/from-java-to-kotlin,6335,8.86,0,37,0,0.5,1.0,0.0
apache/iotdb,6304,7.35,51,812502,0,8.32,1.61,111.34
lightbend/config,6296,14.32,4,13237,4801,5.48,2.06,76.24
koush/ion,6260,12.86,0,9443,2062,4.58,1.46,23.6
apache/incubator-kie-drools,6234,15.11,6,769340,0,6.57,1.62,65.08
graphql-java/graphql-java,6231,10.74,101,73132,16740,8.34,1.37,36.37
ityouknow/spring-cloud-examples,6215,8.92,0,390,22,3.83,1.02,0.47
auth0/java-jwt,6210,12.07,46,8924,1654,5.66,1.63,142.74
loks666/get_jobs,6175,2.06,3,9790,2441,5.22,1.0,33.32
google/grafika,6159,12.28,1,10035,4377,6.41,1.75,6.89
apache/camel,6159,16.86,0,2051035,0,4.86,1.62,80.35
Vedenin/useful-java-links,6153,10.13,0,5967,1455,2.3,1.02,1.83
alipay/SoloPi,6149,7.05,8,56327,13839,4.62,1.21,13.14
LandGrey/SpringBootVulExploit,6128,5.86,0,258,5,3.43,1.0,3.57
apache/hudi,6127,9.29,33,335609,137729,9.32,1.57,65.47
vavr-io/vavr,6126,12.16,22,71254,39619,8.69,1.23,1009.19
obsidiandynamics/kafdrop,6125,6.84,50,4200,1116,5.54,1.32,28.19
ikew0ng/SwipeBackLayout,6103,12.6,0,1635,820,5.22,1.39,61.33
rengwuxian/MaterialEditText,6098,11.42,19,3385,834,5.65,1.31,742.85
google/google-java-format,6096,10.89,43,11870,3292,5.99,1.47,84.19
daimajia/NumberProgressBar,6090,11.92,3,380,87,3.17,1.33,91.83
javaparser/javaparser,6063,14.42,57,145306,0,8.77,1.94,283.86
apache/pinot,6053,11.87,21,615165,0,7.4,1.52,55.78
ZhongFuCheng3y/austin,6050,4.4,0,6538,5753,6.27,1.12,1.45
apache/nifi,6035,11.3,0,676231,0,7.41,1.49,59.99
singwhatiwanna/dynamic-load-apk,6024,12.0,0,2620,601,5.81,1.45,9.42
apache/hive,6013,16.86,0,2024521,340954,6.9,1.41,92.73
pedrovgs/EffectiveAndroidUI,6010,11.74,0,1923,1510,4.44,1.34,11.62
jeequan/jeepay,6003,8.63,0,17168,15545,8.85,1.78,4.29
robolectric/robolectric,6000,15.59,111,229196,37133,5.94,1.35,72.01
opengoofy/hippo4j,5990,4.79,18,31320,0,4.58,1.2,5.93
WeiYe-Jing/datax-web,5990,6.36,5,13801,6829,5.04,1.39,13.24
btraceio/btrace,5988,11.59,33,53275,21593,4.74,1.33,79.95
00-Evan/shattered-pixel-dungeon,5984,11.67,52,164472,30251,6.34,2.85,13.83
google/physical-web,5980,11.5,17,7481,3016,4.79,1.29,26.71
rey5137/material,5965,11.31,10,27346,4217,6.51,1.65,54.5
wyouflf/xUtils3,5958,10.42,9,12561,2024,5.22,1.41,27.45
youtube/api-samples,5955,12.31,0,2541,1968,6.4,1.0,4.38
springfox/springfox,5937,13.9,12,32115,17060,5.7,1.12,23.25
liyifeng1994/ssm,5937,9.78,0,369,107,4.16,1.68,2.05
journeyapps/zxing-android-embedded,5936,13.34,9,5169,2112,5.44,1.36,21.92
JSQLParser/JSqlParser,5936,14.77,37,50949,11587,6.22,1.56,511.09
prolificinteractive/material-calendarview,5930,11.14,22,3658,1211,6.45,1.53,69.01
antoniolg/androidmvp,5909,11.99,0,274,120,3.29,1.29,3.0
apache/fesod,5908,1.48,7,22285,23160,6.09,1.37,30.29
weibocom/motan,5904,9.94,28,46905,14814,5.94,1.43,32.72
amitshekhariitbhu/Fast-Android-Networking,5889,10.03,10,19596,3232,3.22,1.25,13.77
lets-blade/blade,5881,10.81,9,15319,6479,4.62,1.23,42.16
ikarus23/MifareClassicTool,5871,13.13,10,6934,4229,11.12,2.27,110.0
PBH-BTN/PeerBanHelper,5865,2.14,191,30565,3841,6.45,1.31,16.0
JakeWharton/DiskLruCache,5857,14.24,0,1937,378,3.25,1.33,11.0
ffay/lanproxy,5854,9.36,1,2668,419,4.24,1.19,8.21
meefik/linuxdeploy,5796,13.61,37,2693,670,7.16,1.65,35.89
Nightonke/BoomMenu,5790,10.03,0,7710,1638,5.63,1.57,227.67
yarolegovich/DiscreteScrollView,5785,9.08,2,3698,158,4.23,1.25,19.11
changmingxie/tcc-transaction,5776,10.32,8,23664,0,5.25,1.31,29.74
Nepxion/Discovery,5768,7.78,132,26230,0,4.78,1.27,18.8
houbb/sensitive-word,5756,6.23,2,4321,3205,3.05,1.17,20.87
dmytrodanylyk/circular-progress-button,5755,11.81,3,1429,18,3.97,1.28,25.33
strimzi/strimzi-kafka-operator,5754,9.9,170,123282,0,10.96,1.49,45.33
JanusGraph/janusgraph,5749,9.26,28,104586,35749,7.02,1.44,43.95
k0shk0sh/FastHub,5736,9.11,63,40321,2420,8.07,1.44,34.76
dromara/lamp-cloud,5732,8.2,0,18878,19357,7.76,1.27,6.81
jagrosh/MusicBot,5729,9.63,38,4097,1466,6.74,2.51,10.59
redis/lettuce,5728,11.89,146,138657,97958,6.5,1.37,146.6
ZHENFENG13/spring-boot-projects,5723,9.0,0,2606,0,4.33,1.07,9.07
yanzhenjie/SwipeRecyclerView,5718,9.66,0,11090,3681,4.85,1.39,26.94
ddd-by-examples/library,5717,7.22,0,1770,20,6.79,1.04,5.43
jpush/aurora-imui,5708,9.3,42,17789,1822,4.81,1.53,50.27
Devlight/InfiniteCycleViewPager,5702,9.6,2,3564,606,5.05,1.63,102.54
201206030/novel,5683,6.39,12,4560,3619,4.42,1.07,20.43
springside/springside4,5667,14.1,3,12842,5241,3.17,1.28,24.78
crazycodeboy/react-native-splash-screen,5663,9.54,12,246,69,3.42,1.25,2.0
ElderDrivers/EdXposed,5661,7.2,27,71794,51474,6.07,1.6,191.08
JakeWharton/u2020,5660,12.38,0,4806,607,6.22,1.43,23.62
wasabeef/Blurry,5659,10.69,0,636,102,5.14,1.0,0.64
hanks-zyh/HTextView,5653,10.28,0,3076,226,4.2,1.56,3.48
microsoft/typespec,5650,4.75,453,193226,0,8.92,1.15,24.46
daimajia/AndroidImageSlider,5616,11.83,5,3813,969,4.06,1.57,59.1
osmandapp/OsmAnd,5615,15.21,1,699261,55399,8.93,1.65,109.05
TommyLemon/Android-ZBLibrary,5607,10.61,25,14727,7446,5.38,1.56,26.67
hongyangAndroid/FlowLayout,5587,10.59,0,810,56,4.32,1.41,5.0
baidu/uid-generator,5581,9.01,0,873,1023,2.88,1.28,11.72
apache/hbase,5575,11.85,50,951912,249702,7.92,1.49,70.14
SuperMonster003/AutoJs6,5574,4.33,21,118612,23608,5.18,1.46,42.4
alibaba/jetcache,5573,8.97,67,18021,2503,6.03,1.64,15.91
hneemann/Digital,5572,9.75,35,76080,27794,5.05,1.68,13.25
mik3y/usb-serial-for-android,5566,12.75,34,8450,899,6.0,1.38,39.54
amlcurran/ShowcaseView,5563,13.63,13,2086,762,5.38,1.4,17.82
alibaba/QLExpress,5555,9.04,25,13807,2339,5.78,1.4,44.0
nhaarman/ListViewAnimations,5535,13.03,14,5697,2887,6.47,2.06,10.46
knightliao/disconf,5531,11.84,12,14009,7934,4.44,1.36,12.62
wuhaoyu1990/MagicCamera,5517,10.23,0,14543,892,3.54,1.47,7.63
danikula/AndroidVideoCache,5515,11.0,20,3217,408,4.83,1.49,14.32
CaffeineMC/sodium,5515,6.16,40,30774,6133,6.29,1.52,17.34
cinit/QAuxiliary,5514,4.17,49,42830,10470,7.47,1.32,40.58
jindrapetrik/jpexs-decompiler,5499,11.89,180,362975,174182,5.95,1.93,60.76
GeyserMC/Geyser,5494,6.73,0,65016,46849,7.99,1.74,33.93
emilsjolander/StickyListHeaders,5481,14.05,16,2112,226,4.81,1.4,3.98
Jasonchenlijian/FastBle,5478,9.6,9,4713,355,4.38,1.3,26.07
scribejava/scribejava,5469,15.57,9,12671,1650,4.21,1.4,10.94
motianhuo/wechat,5468,10.85,0,34426,3108,5.23,1.25,15.45
liquibase/liquibase,5465,14.73,107,99091,19104,6.85,1.78,66.11
KeepSafe/TapTargetView,5462,9.55,24,1965,368,4.51,1.15,49.9
sockeqwe/mosby,5460,11.02,15,17138,0,5.38,1.61,9.64
alibaba/freeline,5459,9.66,22,5357,757,3.8,1.61,13.87
TGX-Android/Telegram-X,5446,4.62,6,421700,27424,9.5,1.43,549.11
dm77/barcodescanner,5445,12.1,6,2796,135,5.29,1.64,11.82
rubenlagus/TelegramBots,5428,10.21,113,22367,0,10.41,2.18,11.31
spring-projects/spring-data-examples,5421,12.16,0,51538,15604,2.63,1.01,0.47
socketio/socket.io-client-java,5413,12.92,7,5639,228,1.92,1.1,4.25
tonikelope/megabasterd,5408,9.5,208,20673,1060,2.76,1.49,85.72
facebookarchive/rebound,5404,12.47,10,4095,1341,4.38,1.32,34.93
killbill/killbill,5397,13.44,151,151373,38314,8.66,1.79,28.23
coobird/thumbnailator,5397,10.68,0,19595,15561,4.09,1.24,93.22
apache/dubbo-spring-boot-project,5395,8.2,13,1908,0,7.11,1.17,11.93
LFDT-web3j/web3j,5386,9.57,121,43232,11748,4.27,1.74,35.48
diffplug/spotless,5385,10.93,52,38634,13753,4.99,1.74,13.91
facebookarchive/shimmer-android,5366,11.09,5,885,92,8.57,1.86,18.0
Evernote/android-job,5361,10.61,31,10693,3064,6.99,1.77,32.01
pmd/pmd,5360,13.72,114,148420,52780,5.75,2.04,43.63
gsantner/markor,5347,8.6,81,30245,4315,6.85,1.48,129.51
h6ah4i/android-advancedrecyclerview,5338,11.18,1,20692,7354,6.61,2.41,32.02
commonsguy/cw-omnibus,5335,14.05,36,71119,28851,5.27,1.69,20.08
remkop/picocli,5334,9.16,86,96033,12730,3.0,1.11,58.91
jgilfelt/SystemBarTint,5333,12.37,3,807,271,8.0,1.78,22.56
runelite/runelite,5331,9.92,0,520312,244648,3.4,1.21,24.54
google/google-authenticator,5326,11.48,0,3935,1932,3.89,1.69,29.66
allure-framework/allure2,5324,9.84,84,10684,5369,5.96,1.31,13.41
dunwu/db-tutorial,5320,8.64,0,11203,0,5.21,1.18,32.61
XRecyclerView/XRecyclerView,5319,10.37,0,5151,424,3.91,1.42,9.04
mybatis/generator,5317,13.13,11,73012,0,7.96,2.46,85.56
Doikki/DKVideoPlayer,5307,8.97,32,18446,3435,5.33,1.59,46.75
LWJGL/lwjgl3,5306,13.27,23,1137803,481752,6.81,2.36,1019.79
zfdang/Android-Touch-Helper,5293,5.46,113,2257,219,4.13,1.18,1.95
Fuzion24/JustTrustMe,5293,11.69,1,598,65,2.56,1.19,2.7
evant/gradle-retrolambda,5281,12.65,37,623,62,4.6,1.04,2.16
Docile-Alligator/Infinity-For-Reddit,5277,7.68,196,96375,4445,6.96,1.55,31.21
yixia/VitamioBundle,5269,13.45,0,6501,2215,4.95,1.32,75.07
citerus/dddsample-core,5266,11.16,0,4639,1214,7.09,1.13,7.03
xxv/android-lifecycle,5265,11.95,0,481,11,7.0,1.67,151.67
CodingDocs/springboot-guide,5260,7.34,0,1522,0,4.12,1.18,1.35
lingochamp/okdownload,5259,8.28,8,18986,6247,6.44,1.27,35.26
razerdp/BasePopup,5255,10.21,15,28316,4205,5.89,1.7,34.33
thinkaurelius/titan,5236,14.09,0,71163,15362,5.86,1.37,20.51
j-easy/easy-rules,5236,13.06,10,4857,4729,5.09,1.31,7.63
Yalantis/Side-Menu.Android,5233,11.21,2,449,23,3.89,1.22,4.11
novicezk/midjourney-proxy,5232,2.93,0,2787,264,5.9,1.24,5.81
CellularPrivacy/Android-IMSI-Catcher-Detector,5232,12.35,48,12171,2958,5.06,1.33,4.96
huangyanbin/smartTable,5229,8.39,44,14165,3112,5.13,1.19,25.93
lucasr/twoway-view,5217,13.2,0,3688,414,6.08,1.82,86.59
bitcoinj/bitcoinj,5215,12.36,14,46448,25930,7.13,1.72,87.97
reactor/reactor-core,5212,10.39,224,202714,48302,7.2,1.68,121.61
Karumi/Dexter,5209,10.37,33,2197,1090,4.42,1.2,4.15
brianfrankcooper/YCSB,5199,15.95,55,22410,9958,7.06,1.64,7.85
oshi/oshi,5193,14.14,170,43527,17585,5.33,1.61,31.18
zhanglei-workspace/shopping-management-system,5192,10.37,0,5353,1939,3.52,1.36,76.33
hustcc/JS-Sorting-Algorithm,5192,9.19,0,389,100,3.58,1.0,2.83
Clans/FloatingActionButton,5187,11.03,14,2805,129,4.64,1.38,139.68
killme2008/aviatorscript,5180,15.01,52,37528,11698,4.64,1.5,63.15
android/views-widgets-samples,5180,6.57,0,7344,2694,4.02,1.73,7.01
Exrick/xpay,5178,8.3,0,1449,300,6.43,1.0,93.43
baomidou/dynamic-datasource,5155,7.92,19,5219,0,5.41,1.14,2.33
careercup/ctci,5146,13.03,0,11244,719,1.96,1.12,5.1
square/otto,5132,13.76,0,1987,816,2.44,1.39,3.55
natario1/CameraView,5126,8.7,42,21155,6433,5.6,1.37,34.76
deathmarine/Luyten,5116,12.72,17,6750,277,2.35,1.54,15.45
tianshiyeben/wgcloud,5115,7.21,31,6105,2556,6.04,1.19,34.54
apache/calcite,5104,11.76,0,377874,157701,7.69,1.7,403.43
youlookwhat/DesignPattern,5103,9.44,0,2603,1204,2.54,1.28,1.43
line/armeria,5093,10.37,269,312297,0,6.44,1.31,32.7
spring-projects/spring-authorization-server,5084,6.04,85,37194,0,10.25,1.39,16.69
sofastack/sofa-boot,5077,7.99,83,32830,0,5.15,1.2,17.82
xuexiangjys/XUI,5073,7.23,23,91066,38328,5.73,1.66,52.71
bisq-network/bisq,5072,12.05,143,178870,57605,7.49,1.75,30.17
OpenTSDB/opentsdb,5064,15.59,27,104636,27945,7.14,1.28,64.88
apache/ignite,5061,11.11,0,1098205,0,5.59,1.66,495.83
Sayi/poi-tl,5056,11.03,14,22801,6476,6.49,1.21,89.66
2227324689/gpmall,5043,6.7,0,8865,4946,4.98,1.36,8.17
wequick/Small,5039,10.34,25,7726,1417,3.81,1.48,20.17
javastacks/spring-boot-best-practice,5037,7.39,1,2396,945,5.0,1.09,3.26
jankotek/mapdb,5036,13.62,0,20198,4494,3.24,2.02,81.85
Kodezi/Chronos,5031,0.69,0,78,1832,3.2,1.0,0.4
Trinea/android-common,5022,13.78,1,6716,5755,4.45,1.25,43.06
ageerle/ruoyi-ai,5020,2.2,6,26750,25343,6.94,1.28,9.59
yipianfengye/android-zxingLibrary,5017,9.68,0,2018,826,4.71,1.33,5.63
youlookwhat/CloudReader,5009,9.36,26,19393,3462,4.75,1.46,19.41
apache/maven,5003,16.86,30,167608,0,5.37,1.54,46.0
rubensousa/GravitySnapHelper,4999,9.58,15,600,220,6.86,1.57,66.0
JodaOrg/joda-time,4987,14.87,51,91632,44914,8.58,2.28,295.38
DingMouRen/LayoutManagerGroup,4986,7.92,0,2285,980,4.95,1.57,9.14
spring-attic/spring-mvc-showcase,4985,14.83,0,1281,44,5.17,1.21,9.45
rstudio/rstudio,4980,15.31,0,236157,71749,4.9,1.28,337.15
orhanobut/dialogplus,4973,11.3,9,1047,294,5.24,1.03,57.86
roncoo/roncoo-pay,4966,9.69,0,19910,15030,5.21,1.28,62.94
alibaba/UltraViewPager,4965,9.0,10,1518,665,5.21,1.38,58.38
HeliBorg/HeliBoard,4965,4.06,63,22664,6086,6.67,1.46,74.85
spring-cloud/spring-cloud-netflix,4961,11.72,30,8012,0,7.33,1.19,94.42
querydsl/querydsl,4958,14.65,35,98636,43598,5.2,1.99,42.9
react-native-config/react-native-config,4954,10.1,33,443,79,4.6,1.5,1.95
frogermcs/InstaMaterial,4953,11.39,1,2223,74,4.79,1.54,9.94
react-native-webrtc/react-native-webrtc,4951,10.51,82,4108,722,6.12,1.15,8.66
orientechnologies/orientdb,4946,13.31,232,452703,62337,6.55,1.62,312.68
Devlight/NavigationTabBar,4935,10.0,13,2538,241,4.02,1.31,57.5
amitshekhariitbhu/RxJava2-Android-Samples,4926,9.59,0,3992,418,3.66,1.25,6.29
DiUS/java-faker,4919,14.82,0,6710,1162,4.12,1.45,40.75
angryip/ipscan,4905,14.76,32,12374,2859,5.06,1.69,4.35
traex/RippleEffect,4904,11.46,0,504,158,3.42,1.37,23.16
fuzhengwei/small-spring,4901,4.88,0,10379,6239,3.47,1.25,12.7
cglib/cglib,4894,12.01,15,17670,4346,3.22,1.53,261.8
Ramotion/folding-cell-android,4892,10.0,0,812,193,4.14,1.33,13.38
Threekiii/Awesome-POC,4890,4.11,2,42,0,7.0,2.0,0.0
zhkl0228/unidbg,4876,7.09,16,94077,2207,5.31,1.61,28.75
