Nome,Popularidade_Stars,Maturidade_Idade,Atividade_Releases,Tamanho_LOC,Tamanho_Comentarios,CBO,DIT,LCOM
reactive-streams/reactive-streams-jvm,4872,12.08,0,15738,2601,3.12,1.28,20.34
mock-server/mockserver,4859,13.09,0,65134,0,7.27,1.69,95.82
spring-cloud/spring-cloud-gateway,4846,9.37,45,42750,0,7.02,1.37,16.57
micrometer-metrics/micrometer,4831,8.97,291,85216,41303,5.76,1.29,19.96
mcxiaoke/packer-ng-plugin,4812,10.35,1,1776,408,2.81,1.39,18.65
deepjavalibrary/djl,4797,6.42,38,96934,0,6.52,1.46,132.88
andkulikov/Transitions-Everywhere,4795,11.46,23,9485,4338,6.87,1.68,25.72
claritylab/lucida,4790,11.88,0,23221,12015,6.55,1.61,23.52
oracle/opengrok,4786,13.23,302,71477,44155,5.29,1.63,78.44
tuguangquan/mybatis,4773,11.41,0,39118,19155,3.73,1.3,21.47
tencentmusic/supersonic,4772,2.8,15,46551,2958,6.29,1.29,46.02
ronmamo/reflections,4770,12.96,3,4782,1020,2.77,1.15,13.66
etsy/AndroidStaggeredGrid,4768,12.31,7,4010,848,5.86,1.86,155.89
TheoKanning/openai-java,4762,5.54,22,2783,1839,5.39,1.08,15.55
saiwu-bigkoo/Android-ConvenientBanner,4758,11.27,0,848,234,4.83,1.45,7.79
zq2599/blog_demos,4757,8.97,0,53030,0,4.03,1.19,14.68
dromara/dynamic-tp,4753,4.23,19,18457,0,4.84,1.29,17.74
nisrulz/android-tips-tricks,4751,9.6,0,22,0,1.0,1.0,0.0
grobidOrg/grobid,4750,13.54,22,64482,0,5.22,1.25,138.36
kyleduo/SwitchButton,4746,11.56,0,1543,108,4.37,1.41,82.48
zlt2000/microservices-platform,4745,7.07,30,7665,5057,6.36,1.25,6.44
hongyangAndroid/baseAdapter,4730,10.66,0,1563,120,4.88,1.32,18.28
saysky/ForestBlog,4722,8.48,0,2437,2057,5.1,1.07,12.69
stleary/JSON-java,4717,15.27,25,13048,8169,3.14,1.19,368.65
google/cameraview,4712,9.65,0,2983,681,4.83,1.26,12.12
spring-attic/spring-security-oauth,4699,14.68,0,35204,0,6.06,1.6,13.4
cjlin1/libsvm,4697,12.55,0,3152,166,3.26,1.35,19.62
hansonwang99/Spring-Boot-In-Action,4694,7.17,0,2714,1221,3.87,1.12,6.01
charles2gan/GDA-android-reversing-Tool,4691,8.41,40,567,50,2.56,1.0,57.38
SPLWare/esProc,4690,4.39,0,428443,99042,6.68,2.17,97.67
jgilfelt/chuck,4687,9.14,5,1698,420,5.83,1.38,55.74
bytedeco/javacpp,4685,11.94,14,27090,7419,5.91,2.01,151.14
981011512/--,4684,5.78,0,338075,0,3.54,2.91,440.43
pardom-zz/ActiveAndroid,4682,13.37,0,3158,1034,5.44,1.74,22.08
bepass-org/oblivion,4680,2.14,12,2641,212,5.64,1.48,11.62
Heeexy/SpringBoot-Shiro-Vue,4676,8.37,0,633,414,5.78,1.41,9.44
karma9874/AndroRAT,4676,6.02,0,1793,20,2.87,1.16,1.38
ant-media/Ant-Media-Server,4654,9.08,68,106409,44340,5.69,1.33,163.96
discord-jda/JDA,4653,10.3,122,72785,94033,8.84,1.82,129.12
wdullaer/MaterialDateTimePicker,4642,11.24,54,7536,1869,6.59,1.47,127.63
JZ-Darkal/AndroidHttpCapture,4641,9.46,1,15900,5132,4.71,1.42,37.0
rememberber/WePush,4640,8.77,58,22791,3716,6.83,1.58,25.15
CalebFenton/simplify,4639,12.2,9,21150,1331,8.99,1.37,20.74
chewiebug/GCViewer,4635,14.44,5,20453,4194,5.27,2.16,49.04
zongzibinbin/MallChat,4634,3.04,0,9260,0,6.24,1.2,4.44
gabrielemariotti/cardslib,4632,12.53,27,32257,15441,5.9,2.18,18.62
romandanylyk/PageIndicatorView,4630,9.61,14,3532,195,5.51,1.5,22.81
nICEnnnnnnnLee/BilibiliDown,4629,7.18,81,19863,6627,4.21,1.72,42.19
yasserg/crawler4j,4627,14.25,3,4736,2353,5.28,1.31,55.89
linhaojun857/aurora,4624,3.61,0,4956,31,7.29,1.12,7.26
apache/rocketmq-externals,4616,9.05,0,11795,0,5.75,1.25,16.45
Netflix/ribbon,4616,13.21,41,21788,7333,4.39,1.27,13.38
h2database/h2database,4613,10.97,24,231740,71073,6.02,2.06,176.99
objectbox/objectbox-java,4603,9.18,54,24758,13223,5.14,1.77,105.62
ReChronoRain/HyperCeiler,4592,2.43,10,57740,13868,3.88,1.49,13.72
SplashCodes/JAViewer,4590,9.86,10,6309,1170,5.79,1.6,11.65
hussien89aa/AndroidTutorialForBeginners,4588,9.51,0,3957,852,4.51,1.5,2.74
puniverse/quasar,4564,13.01,18,52770,26786,3.39,1.5,36.0
chentao0707/SimplifyReader,4559,10.62,0,34709,15509,4.56,1.39,60.29
zhanghai/Douya,4555,10.16,11,44643,9635,5.6,1.63,28.4
javagrowing/JGrowing,4551,7.09,0,329,0,1.53,1.0,1.95
tiann/epic,4542,8.86,5,5127,1349,3.23,1.62,30.4
go-lang-plugin-org/go-lang-idea-plugin,4540,15.59,21,45363,13941,8.12,2.07,110.03
danielzeller/Depth-LIB-Android-,4540,9.92,0,3771,238,3.79,1.21,13.35
square/sqlbrite,4536,11.11,9,3329,1013,4.7,1.36,4.3
jdamcd/android-crop,4530,12.05,6,1676,319,4.29,1.39,26.48
phishman3579/java-algorithms-implementation,4530,12.36,0,31758,6418,3.71,1.58,7.05
201206030/novel-plus,4523,5.91,36,15510,5360,6.48,1.21,46.16
jacoco/jacoco,4519,13.73,50,37400,20208,4.23,1.44,12.45
IoT-Technology/IoT-Technical-Guide,4519,7.0,0,5235,1302,4.09,1.25,3.16
alibaba/dexposed,4517,10.75,0,2414,938,2.92,1.69,82.83
castorflex/SmoothProgressBar,4513,12.34,9,2208,104,4.85,1.23,26.31
azkaban/azkaban,4510,13.45,48,93837,31462,6.47,1.35,35.84
Flipboard/bottomsheet,4504,10.94,10,2578,655,4.9,1.37,27.66
Freeyourgadget/Gadgetbridge,4488,11.23,0,242946,0,5.38,1.83,38.69
HotBitmapGG/bilibili-android-client,4485,9.83,1,38892,2869,4.92,1.82,42.79
water8394/flink-recommandSystem-demo,4473,6.88,0,1835,391,3.73,1.08,6.4
JakeWharton/NineOldAndroids,4470,14.31,0,7585,3852,4.29,1.43,30.14
Meituan-Dianping/Robust,4466,9.05,13,2953,615,3.52,1.26,17.36
s4kibs4mi/java-developer-roadmap,4454,6.94,0,5,0,0.0,1.0,0.0
flutter-webrtc/flutter-webrtc,4452,8.07,138,8455,700,6.66,1.22,40.0
apache/shiro,4438,16.59,17,36885,40701,5.03,1.79,19.84
dreamhead/moco,4431,13.45,1,17905,243,5.81,1.54,34.57
janishar/android-mvp-architecture,4431,9.17,0,4049,1707,5.82,1.38,14.11
square/android-times-square,4426,13.16,0,2286,311,4.55,1.23,25.87
Tencent/GT,4412,10.21,3,55663,17070,3.9,1.3,13.67
Snailclimb/guide-rpc-framework,4399,5.89,0,2408,948,4.69,1.23,1.23
ThirtyDegreesRay/OpenHub,4393,8.72,31,24549,2020,6.76,1.63,32.93
robinhood/ticker,4383,9.71,9,1581,507,4.61,1.32,27.61
crate/crate,4377,12.97,159,441366,152868,7.57,1.65,50.4
Querz/mcaselector,4373,7.94,75,37258,870,6.9,2.55,23.23
AsamK/signal-cli,4367,10.89,110,27821,580,6.95,1.57,50.28
pytorch/serve,4361,6.49,24,18747,1352,5.8,1.47,63.92
awangdev/leet-code,4357,10.93,0,2109,31725,2.02,1.0,1.09
Ashok-Varma/BottomNavigation,4357,10.03,16,2091,992,7.53,1.43,69.27
eirslett/frontend-maven-plugin,4353,12.58,0,3712,432,5.6,1.73,7.05
iterate-ch/cyberduck,4344,9.19,0,299881,128139,6.36,1.35,65.98
mywalkb/LSPosed_mod,4336,4.01,10,24128,4771,5.57,1.62,50.2
jitsi/jitsi,4318,12.93,7,196435,0,5.44,1.9,39.37
torakiki/pdfsam,4313,12.51,71,19937,14667,6.97,1.4,4.96
jeasonlzy/ImagePicker,4311,10.17,5,3685,791,5.83,1.49,23.08
google/open-location-code,4309,11.5,5,2295,901,4.96,1.18,4.55
failsafe-lib/failsafe,4308,10.75,0,10026,7030,6.39,2.06,19.18
apache/streampark,4305,6.84,17,23736,0,7.47,1.28,18.96
bingoogolapple/BGARefreshLayout-Android,4304,10.84,4,5450,1044,5.15,1.41,9.8
geoserver/geoserver,4303,14.39,69,703725,0,7.52,1.82,42.64
brianway/java-learning,4290,10.14,0,10984,5949,1.08,1.29,0.6
apache/fory,4286,2.92,65,102165,23767,5.07,2.12,46.19
alibaba/fastjson2,4281,3.95,61,424620,34509,2.84,1.19,276.15
bjmashibing/InternetArchitect,4280,6.45,0,44604,7994,4.68,1.16,63.77
mcxiaoke/android-volley,4271,12.86,0,4965,2907,5.09,1.89,15.82
camunda/camunda-bpm-platform,4267,13.24,0,543917,0,6.28,1.65,86.64
M66B/FairEmail,4266,7.66,1000,244222,58444,4.73,1.27,33.41
ongakuer/CircleIndicator,4266,11.67,7,1712,77,6.51,1.62,8.51
grantland/android-autofittextview,4261,15.12,1,470,233,5.38,1.38,40.75
aporter/coursera-android,4257,12.23,0,18164,0,4.25,1.5,3.36
microsoft/malmo,4252,9.87,21,19130,5096,7.05,2.14,12.85
nining377/dolby_beta,4250,5.86,37,7302,1180,4.15,1.45,7.95
mybatis/spring-boot-starter,4247,10.51,34,4434,0,4.54,1.22,16.18
zendesk/maxwell,4242,11.14,214,17755,1704,6.11,1.62,32.14
dromara/hmily,4239,8.5,0,27504,0,5.37,1.22,10.65
jboss-javassist/javassist,4228,12.85,24,83226,21540,3.39,1.55,43.91
LibrePDF/OpenPDF,4225,9.72,87,156521,96808,5.94,1.85,91.43
JetBrains/fernflower,4214,11.49,0,55513,3076,4.38,1.24,33.49
ChadCSong/ShineButton,4201,9.74,2,988,67,4.83,1.62,23.62
aws/aws-sdk-java,4199,16.02,0,8603744,0,7.0,1.21,123.2
yhaolpz/FloatWindow,4198,8.38,9,1473,158,3.77,1.27,9.73
jishenghua/jshERP,4183,9.52,6,71607,4900,5.85,1.33,1686.01
syncthing/syncthing-android,4183,12.1,332,8424,1386,6.51,1.69,9.05
Jacksgong/JKeyboardPanelSwitch,4182,10.75,14,1736,909,5.2,1.3,7.38
powermock/powermock,4182,11.84,16,32976,0,3.44,1.24,22.71
hugeterry/CoordinatorTabLayout,4181,9.17,0,473,123,5.29,1.41,9.41
codingapi/tx-lcn,4181,8.38,14,7772,2782,4.95,1.21,6.34
oddfar/campus-imaotai,4180,2.73,11,7728,5506,6.34,1.41,20.38
jMonkeyEngine/jmonkeyengine,4176,12.03,82,195784,134634,7.66,1.43,68.57
googlesamples/mlkit,4169,5.84,1,10638,3032,7.73,1.53,9.53
bingoogolapple/BGABanner-Android,4167,11.43,0,2123,358,5.0,1.58,26.28
pedrovgs/AndroidWiFiADB,4156,10.45,8,1096,317,2.87,1.5,12.13
lilishop/lilishop,4142,4.88,3,43407,33161,7.62,1.31,13.65
JFormDesigner/FlatLaf,4135,6.61,90,77047,27348,3.86,3.54,61.28
lukas-krecan/ShedLock,4127,9.3,0,12935,0,6.07,2.12,7.7
pqpo/SmartCropper,4126,8.66,13,1021,113,6.25,1.33,122.5
gh0stkey/HaE,4125,6.02,88,5879,155,4.44,1.7,12.9
bitcoin-wallet/bitcoin-wallet,4116,14.0,0,18379,3289,7.53,1.71,5.41
BoCloud/folib,4109,0.73,1,116758,0,6.88,1.34,41.82
dinuscxj/LoadingDrawable,4106,9.95,0,4428,178,6.51,1.45,15.83
DTStack/chunjun,4104,7.99,31,105622,36747,7.14,1.57,20.7
alibaba/Tangram-Android,4103,9.0,38,24338,11522,5.26,1.68,23.21
code4craft/tiny-spring,4089,12.22,0,1543,871,3.08,1.15,2.37
qunarcorp/bistoury,4087,6.66,8,73638,24339,4.84,1.28,21.42
Manabu-GT/ExpandableTextView,4077,11.87,4,552,74,5.13,1.73,11.8
oblac/jodd,4073,13.56,37,26882,23818,3.99,1.44,12.95
jetty/jetty.project,4071,14.72,144,731128,0,5.58,1.63,25.5
rubensousa/ViewPagerCards,4069,9.61,0,240,15,5.33,1.56,2.22
RipMeApp/ripme,4066,9.23,145,19912,2535,5.01,2.54,28.27
orhanobut/hawk,4065,11.11,22,834,230,3.62,1.04,12.96
camunda/camunda,4060,10.03,569,745043,0,7.16,1.36,30.39
knowm/XChange,4052,14.16,0,150057,0,6.0,1.49,24.98
Creators-of-Create/Create,4049,6.7,5,148658,0,11.1,1.75,29.47
tronprotocol/java-tron,4046,8.26,82,152218,16265,8.81,1.78,82.77
luckybilly/CC,4045,8.35,0,4599,1248,4.97,1.26,16.32
freeplane/freeplane,4031,13.54,57,195371,37392,4.59,1.51,45.9
uber/NullAway,4025,8.58,38,25403,10140,4.76,1.2,58.05
xcltapestry/XCL-Charts,4022,11.81,0,23397,13014,7.74,2.18,49.04
BoltsFramework/Bolts-Android,4018,12.16,11,5144,1061,3.0,1.09,19.01
oldmanpushcart/greys-anatomy,4017,13.36,0,10774,2983,4.07,1.15,6.77
jbloch/effective-java-3e-source-code,4015,7.66,0,3018,678,1.13,1.19,1.33
awaitility/awaitility,4003,16.19,0,5473,3772,3.18,1.19,18.58
makovkastar/FloatingActionButton,3997,11.69,0,1014,16,5.67,1.81,37.59
lcodecorex/TwinklingRefreshLayout,3991,10.08,0,6273,776,4.28,1.37,36.27
Yalantis/Phoenix,3989,11.21,1,976,33,4.33,1.67,7.54
JeremyLiao/LiveEventBus,3987,7.72,0,7782,1022,3.23,1.11,4.04
mouredev/hello-java,3987,1.02,0,823,525,0.64,1.33,0.47
Piasy/BigImageViewer,3987,9.4,0,2513,993,4.61,1.29,12.81
fishercoder1534/Leetcode,3980,9.66,0,140407,6725,1.55,1.0,0.29
pingfangushi/screw,3972,5.77,0,3941,8091,4.99,1.35,5.24
qstumn/BadgeView,3971,9.14,5,1759,63,4.34,1.31,49.89
mercyblitz/tech-weekly,3971,7.33,0,1391,431,2.89,1.02,2.12
rovo89/XposedInstaller,3970,13.99,0,8980,277,4.9,1.42,8.52
Dimezis/BlurView,3966,9.94,32,939,220,5.9,1.5,7.0
zzhoujay/RichText,3964,10.69,0,5185,972,4.27,1.45,10.55
google/bundletool,3963,7.91,65,54884,16838,9.68,1.27,83.32
shuzijun/leetcode-editor,3960,7.03,59,13448,1094,6.32,1.74,20.15
binIoter/GuideView,3954,9.78,0,1246,353,3.74,1.37,8.23
kubernetes-client/java,3953,8.9,58,2265982,632967,7.33,1.6,242.13
linyiqun/DataMiningAlgorithm,3949,11.22,0,11663,4053,2.29,1.09,9.96
promeG/TinyPinyin,3941,10.5,2,1401,260,2.06,1.09,8.75
JoanZapata/android-iconify,3932,12.8,0,909,170,3.51,1.23,5.19
rengwuxian/RxJavaSamples,3921,10.02,3,1001,26,4.55,1.4,1.6
VaughnVernon/IDDD_Samples,3921,12.98,0,28475,7659,4.74,1.66,27.33
sofastack/sofa-rpc,3921,7.98,66,72930,43323,5.21,1.32,24.44
amirzaidi/Launcher3,3907,8.84,22,60130,13413,7.24,1.47,63.68
databricks/learning-spark,3900,11.79,0,2295,209,2.83,1.02,1.8
bluelinelabs/Conductor,3900,10.04,36,5385,854,5.48,1.35,71.34
shopizer-ecommerce/shopizer,3899,13.36,18,53489,11864,7.94,1.68,34.15
JavaNoober/BackgroundLibrary,3894,7.56,13,8029,259,4.79,1.21,34.18
Exrick/xboot,3893,7.94,6,10265,5575,7.42,1.21,2.66
alibaba/jstorm,3885,12.57,22,296316,49817,5.54,1.55,42.37
vipulasri/Timeline-View,3882,10.29,15,418,141,9.0,1.5,453.5
RikkaApps/Sui,3880,5.24,21,4514,1391,4.93,1.18,14.55
wendux/DSBridge-Android,3878,9.24,2,1841,118,2.98,1.11,15.98
react-native-share/react-native-share,3877,10.5,145,1792,202,5.59,2.07,8.61
ZHENFENG13/My-Blog,3876,7.07,0,2411,470,4.76,1.05,29.55
emanuele-f/PCAPdroid,3868,6.23,68,24126,3835,9.36,1.56,88.39
watabou/pixel-dungeon,3864,11.68,0,38623,8689,5.72,2.54,12.42
yacy/yacy_search_server,3857,11.03,0,167065,59215,5.34,1.37,46.81
yanzhenjie/AndServer,3854,9.8,1,12029,7912,5.02,1.54,48.05
uncle-novel/uncle-novel,3851,7.3,1,16991,6689,7.29,1.66,10.42
spotbugs/spotbugs,3849,9.4,73,220429,70689,4.07,1.37,25.68
MovingBlocks/Terasology,3847,15.07,70,112342,29674,6.16,1.45,25.27
RoaringBitmap/RoaringBitmap,3846,12.79,46,79524,12154,5.57,1.14,258.02
timehop/sticky-headers-recyclerview,3846,11.49,0,808,206,4.62,1.28,3.24
aurelhubert/ahbottomnavigation,3826,10.04,14,2339,663,5.11,1.17,57.48
MiguelCatalan/MaterialSearchView,3824,10.54,6,1361,147,4.05,1.32,22.66
NotHarshhaa/DevOps-Projects,3817,2.64,0,4452,2606,5.77,1.19,22.75
happydog-intj/CircleProgress,3815,11.42,0,1451,225,5.76,1.68,85.76
JCTools/JCTools,3810,12.39,19,45931,13960,4.67,4.37,22.47
sofastack/sofa-jraft,3798,7.07,32,137746,33742,6.22,1.47,76.24
blossom-editor/blossom,3793,2.65,19,13365,10515,5.72,1.34,6.98
sunfusheng/MarqueeView,3790,9.83,0,804,74,5.41,1.36,5.45
mcxtzhang/SwipeDelMenuLayout,3788,9.6,2,1085,268,3.1,1.25,5.2
tchiotludo/akhq,3785,7.56,43,17177,1327,8.19,1.3,29.43
rbmonster/learning-note,3785,5.79,0,13368,6215,2.19,1.17,2.89
zhpanvip/BannerViewPager,3779,9.01,59,3154,1098,5.41,1.41,47.82
yanzhenjie/NoHttp,3774,10.67,0,8428,5906,4.46,1.5,45.65
mpusher/mpush,3773,9.92,9,15032,8734,4.73,1.34,24.57
lygttpod/SuperTextView,3767,9.45,39,4002,1414,3.05,1.16,141.67
FCL-Team/FoldCraftLauncher,3767,3.45,148,116168,22511,5.34,1.67,50.23
apache/kylin,3765,11.24,2,317873,0,7.8,1.5,137.73
helidon-io/helidon,3764,7.59,139,314204,0,5.46,1.38,33.98
CameraKit/blurkit-android,3763,9.4,3,497,129,6.1,1.5,30.3
Ereza/CustomActivityOnCrash,3762,11.74,12,893,472,5.4,1.33,32.33
Atmosphere/atmosphere,3747,15.75,24,83913,36790,5.63,1.21,30.21
jtablesaw/tablesaw,3744,10.25,84,48467,11352,6.27,1.28,108.53
Netflix/maestro,3743,1.95,0,57771,18065,8.5,1.58,27.5
undertow-io/undertow,3742,13.7,18,168171,50662,5.22,1.24,37.17
roboguice/roboguice,3741,13.63,0,74026,19657,4.5,1.22,7.13
portfolio-performance/portfolio,3741,14.02,264,298860,47193,7.44,1.4,86.82
lihangleo2/ShadowLayout,3730,6.73,32,4447,802,4.21,1.16,29.77
andOTP/andOTP,3730,8.74,38,8443,1259,6.11,1.5,41.42
coderbruis/JavaSourceCodeLearning,3730,5.83,0,6045,2379,2.85,1.26,3.14
ethanhua/Skeleton,3724,8.67,0,752,93,3.73,1.24,4.61
stfalcon-studio/ChatKit,3723,9.16,1,4680,1306,5.77,2.9,35.48
HelloWorld521/Java,3717,9.31,0,2697,1024,3.81,1.42,5.1
DataLinkDC/dinky,3715,4.81,32,61123,0,7.05,1.37,25.14
willowtreeapps/spruce-android,3711,9.1,3,4269,2427,4.86,1.37,5.35
OpenHFT/Chronicle-Queue,3710,12.83,540,29075,10072,5.4,1.6,169.34
liuyubobobo/Play-with-Algorithms,3710,9.74,0,5287,2423,2.89,1.01,5.2
grpc-ecosystem/grpc-spring,3707,9.25,34,10752,9556,6.61,1.48,5.37
ByteLegend/ByteLegend,3705,5.16,0,104032,5421,6.98,1.0,727.84
DependencyTrack/dependency-track,3704,12.71,75,60942,19819,8.97,1.52,112.7
ryanhoo/StylishMusicPlayer,3699,9.54,0,5777,884,5.03,1.31,13.22
dromara/liteflow,3699,6.02,0,43612,0,4.88,1.78,15.07
dingjikerbo/Android-BluetoothKit,3697,10.48,0,8347,709,4.07,1.24,18.7
microservices-patterns/ftgo-application,3694,8.44,0,6868,0,5.35,1.19,8.19
FasterXML/jackson-databind,3693,14.27,0,193208,58819,3.78,1.74,23.83
IrisShaders/Iris,3692,5.44,140,37710,5199,6.23,1.31,22.95
springdoc/springdoc-openapi,3689,6.72,103,54726,0,3.93,1.31,9.07
1024-lab/smart-admin,3688,6.37,24,12880,0,6.42,1.23,3.78
apache/incubator-heron,3683,10.51,56,70465,0,5.7,1.47,20.75
Mojang/brigadier,3680,11.54,3,4312,448,6.64,1.15,44.55
Haleydu/Cimoc,3679,5.73,61,26130,2824,5.87,1.5,23.27
linkedin/databus,3676,13.28,0,124341,0,5.53,1.36,46.73
networknt/light-4j,3675,9.56,195,74948,30541,4.74,1.17,24.55
apache/tika,3669,16.86,0,177660,0,6.17,1.52,31.0
lisawray/groupie,3669,9.58,28,3898,502,5.1,1.83,29.9
yangfuhai/ASimpleCache,3665,12.67,0,1993,798,4.45,1.45,38.52
mbechler/marshalsec,3665,8.86,0,2214,1805,7.29,1.82,14.58
google/rejoiner,3662,8.31,3,3566,1326,6.62,1.57,4.92
spring-io/initializr,3661,12.81,19,33315,18821,6.2,1.26,35.71
KunMinX/Linkage-RecyclerView,3659,6.94,0,2552,850,6.4,1.55,10.39
anggrayudi/android-hidden-api,3650,10.54,2,478,349,8.0,1.0,56.5
fyhertz/libstreaming,3647,13.16,0,6798,2154,3.57,1.42,23.29
TNG/ArchUnit,3646,8.94,43,80143,0,3.61,1.28,39.49
huburt-Hu/NewbieGuide,3645,8.67,20,1896,357,4.31,1.18,10.44
dropbox/hackpad,3645,10.63,0,87731,30891,5.09,1.81,152.3
fabric8io/kubernetes-client,3636,10.73,131,382584,0,21.9,1.11,85.89
litesuits/android-common,3629,11.84,0,6519,5695,3.52,1.25,124.35
spockframework/spock,3626,15.3,28,25871,0,5.39,1.44,34.4
alibaba/Alink,3619,7.5,22,475597,0,6.44,1.63,34.7
PlexPt/chatgpt-java,3614,3.31,24,2014,831,5.28,1.28,14.59
Nekogram/Nekogram,3612,2.55,46,1690603,104973,6.94,1.67,70.29
oasisfeng/island,3612,9.94,50,7631,1047,6.8,1.52,52.11
termux/termux-api,3610,10.75,53,11674,716,5.47,1.39,3.68
dtinit/data-transfer-project,3610,8.24,61,33878,0,6.88,1.25,6.87
hmkcode/Android,3608,12.57,0,1387,255,4.7,1.66,2.14
rockerhieu/emojicon,3607,12.2,2,2971,553,5.15,1.56,6.77
googlemaps/android-maps-utils,3606,12.87,63,13946,7284,7.01,1.67,37.91
cSploit/android,3591,11.49,33,22657,3036,4.21,1.52,15.65
apache/logging-log4j2,3590,12.8,18,168750,0,5.52,1.51,46.47
tyrantgit/ExplosionField,3584,10.52,0,343,51,4.9,1.5,4.3
vert-x3/vertx-examples,3584,11.1,0,9120,2474,5.35,1.82,1.03
WVector/AppUpdate,3582,8.78,3,2925,1059,4.44,1.16,37.14
kikoso/android-stackblur,3580,12.62,0,933,189,1.76,1.1,0.59
AxonFramework/AxonFramework,3571,14.33,150,164570,0,6.17,1.26,11.91
davideas/FlexibleAdapter,3571,10.91,31,15857,8837,5.99,2.11,102.16
dongjunkun/DropDownMenu,3567,10.77,2,513,85,4.53,1.37,2.16
LinShunKang/MyPerf4J,3565,8.05,25,10519,1281,3.9,1.16,10.16
JakeWharton/ThreeTenABP,3557,10.74,0,117,9,4.29,1.43,1.43
code4craft/netty-learning,3553,12.53,0,68759,39562,5.06,1.65,39.25
bilibili/MagicaSakura,3552,9.77,3,5367,1025,8.3,1.68,25.44
immutables/immutables,3550,12.73,21,72283,24178,4.67,1.29,30.66
dariuszseweryn/RxAndroidBle,3547,10.15,60,15479,3316,5.37,1.31,53.48
Netflix/concurrency-limits,3547,8.3,103,5153,1659,4.61,1.28,8.38
M66B/NetGuard,3539,10.43,165,13021,967,4.81,1.25,18.49
johncarl81/parceler,3537,12.74,0,10156,3342,4.69,1.35,16.59
arimorty/floatingsearchview,3533,10.36,0,4170,889,3.57,1.18,26.28
spring-cloud/spring-cloud-kubernetes,3531,9.3,39,36601,0,8.25,1.3,4.89
Guardsquare/proguard,3529,7.01,36,33276,23748,9.25,1.23,58.47
luontola/retrolambda,3527,12.7,0,4848,575,2.48,1.41,9.0
nageoffer/12306,3523,2.84,0,8660,0,5.05,1.2,2.71
andremion/Music-Player,3521,9.9,2,926,270,4.41,1.75,5.03
rom1v/sndcpy,3520,5.81,2,214,2,7.75,2.0,20.25
Aefyr/SAI,3520,7.29,45,16401,801,6.43,1.54,13.26
lenve/JavaEETest,3513,9.3,0,2133,696,3.52,1.1,3.27
eclipse-openj9/openj9,3509,8.6,57,644527,228453,3.3,1.53,111.02
lsjwzh/RecyclerViewPager,3507,11.2,10,2735,203,4.31,1.49,9.97
nytimes/Store,3504,9.33,0,11288,3216,6.2,1.56,17.06
codeestX/GeekNews,3498,9.65,0,11939,1734,4.63,1.45,10.01
baoyongzhang/SwipeMenuListView,3497,11.6,2,1347,233,4.39,1.45,15.24
Athou/commafeed,3494,13.03,66,9527,586,7.44,1.37,5.96
apache/incubator-kie-optaplanner,3489,15.12,6,155526,0,7.25,1.84,49.22
KingJA/LoadSir,3485,8.57,6,1481,366,5.19,1.55,4.01
getActivity/Toaster,3481,7.54,38,1481,563,4.53,1.33,38.64
phodal/migration,3477,6.23,0,101,11,1.42,1.0,0.08
ittianyu/BottomNavigationViewEx,3475,9.38,19,1371,541,4.9,1.59,50.14
